region,edu,sex,agest,lf_rate,lf_rate_goal
AT,e1,f,15,0.288263796,0.443404763
AT,e2,f,15,0.288263796,0.443404763
AT,e3,f,15,0.288263796,0.443404763
AT,e4,f,15,0.288263796,0.443404763
AT,e5,f,15,0.41672491,0.767092184
AT,e6,f,15,0.561467263,1
AT,e1,m,15,0.4187656,0.346183909
AT,e2,m,15,0.4187656,0.346183909
AT,e3,m,15,0.4187656,0.346183909
AT,e4,m,15,0.4187656,0.346183909
AT,e5,m,15,0.50627833,0.731528073
AT,e6,m,15,0.730320123,0.731528073
AT,e1,f,20,0.656056273,0.535710077
AT,e2,f,20,0.656056273,0.535710077
AT,e3,f,20,0.656056273,0.535710077
AT,e4,f,20,0.656056273,0.535710077
AT,e5,f,20,0.714061135,0.759692529
AT,e6,f,20,0.733813633,0.697649304
AT,e1,m,20,0.758654227,0.714002535
AT,e2,m,20,0.758654227,0.714002535
AT,e3,m,20,0.758654227,0.714002535
AT,e4,m,20,0.758654227,0.714002535
AT,e5,m,20,0.783645367,0.807033397
AT,e6,m,20,0.701956605,0.588001503
AT,e1,f,25,0.566809191,0.593883189
AT,e2,f,25,0.566809191,0.593883189
AT,e3,f,25,0.566809191,0.593883189
AT,e4,f,25,0.566809191,0.593883189
AT,e5,f,25,0.845280129,0.848603955
AT,e6,f,25,0.869541569,0.859228037
AT,e1,m,25,0.786963176,0.75950542
AT,e2,m,25,0.786963176,0.75950542
AT,e3,m,25,0.786963176,0.75950542
AT,e4,m,25,0.786963176,0.75950542
AT,e5,m,25,0.914607563,0.931559481
AT,e6,m,25,0.880182686,0.859743896
AT,e1,f,30,0.629043508,0.753691107
AT,e2,f,30,0.629043508,0.753691107
AT,e3,f,30,0.629043508,0.753691107
AT,e4,f,30,0.629043508,0.753691107
AT,e5,f,30,0.850105369,0.91503786
AT,e6,f,30,0.894075417,0.928284899
AT,e1,m,30,0.823657357,0.834653117
AT,e2,m,30,0.823657357,0.834653117
AT,e3,m,30,0.823657357,0.834653117
AT,e4,m,30,0.823657357,0.834653117
AT,e5,m,30,0.94387876,0.950109994
AT,e6,m,30,0.953230188,0.956820986
AT,e1,f,35,0.681920071,0.719896242
AT,e2,f,35,0.681920071,0.719896242
AT,e3,f,35,0.681920071,0.719896242
AT,e4,f,35,0.681920071,0.719896242
AT,e5,f,35,0.86108556,0.912983183
AT,e6,f,35,0.895071025,0.937351353
AT,e1,m,35,0.827891058,0.915884988
AT,e2,m,35,0.827891058,0.915884988
AT,e3,m,35,0.827891058,0.915884988
AT,e4,m,35,0.827891058,0.915884988
AT,e5,m,35,0.941484411,0.957969657
AT,e6,m,35,0.968694026,0.970538919
AT,e1,f,40,0.72945648,0.740746033
AT,e2,f,40,0.72945648,0.740746033
AT,e3,f,40,0.72945648,0.740746033
AT,e4,f,40,0.72945648,0.740746033
AT,e5,f,40,0.880376401,0.894912017
AT,e6,f,40,0.907792073,0.957699838
AT,e1,m,40,0.807207913,0.864867597
AT,e2,m,40,0.807207913,0.864867597
AT,e3,m,40,0.807207913,0.864867597
AT,e4,m,40,0.807207913,0.864867597
AT,e5,m,40,0.939012704,0.962069906
AT,e6,m,40,0.97537331,0.982638661
AT,e1,f,45,0.731940691,0.766627337
AT,e2,f,45,0.731940691,0.766627337
AT,e3,f,45,0.731940691,0.766627337
AT,e4,f,45,0.731940691,0.766627337
AT,e5,f,45,0.883384756,0.900206478
AT,e6,f,45,0.93660064,0.95567956
AT,e1,m,45,0.808282368,0.858912678
AT,e2,m,45,0.808282368,0.858912678
AT,e3,m,45,0.808282368,0.858912678
AT,e4,m,45,0.808282368,0.858912678
AT,e5,m,45,0.922405689,0.95550404
AT,e6,m,45,0.968271395,0.969299384
AT,e1,f,50,0.689026409,0.727647977
AT,e2,f,50,0.689026409,0.727647977
AT,e3,f,50,0.689026409,0.727647977
AT,e4,f,50,0.689026409,0.727647977
AT,e5,f,50,0.852695693,0.898176216
AT,e6,f,50,0.897287704,0.943335721
AT,e1,m,50,0.755052576,0.877024819
AT,e2,m,50,0.755052576,0.877024819
AT,e3,m,50,0.755052576,0.877024819
AT,e4,m,50,0.755052576,0.877024819
AT,e5,m,50,0.887811094,0.931208125
AT,e6,m,50,0.95879035,0.972464329
AT,e1,f,55,0.516962427,0.722406023
AT,e2,f,55,0.516962427,0.722406023
AT,e3,f,55,0.516962427,0.722406023
AT,e4,f,55,0.516962427,0.722406023
AT,e5,f,55,0.642060273,0.867767088
AT,e6,f,55,0.790655905,0.932138931
AT,e1,m,55,0.639075996,0.848878184
AT,e2,m,55,0.639075996,0.848878184
AT,e3,m,55,0.639075996,0.848878184
AT,e4,m,55,0.639075996,0.848878184
AT,e5,m,55,0.786602316,0.912073023
AT,e6,m,55,0.900173952,0.948181296
AT,e1,f,60,0.114607493,0.602966457
AT,e2,f,60,0.114607493,0.602966457
AT,e3,f,60,0.114607493,0.602966457
AT,e4,f,60,0.114607493,0.602966457
AT,e5,f,60,0.150745436,0.66766474
AT,e6,f,60,0.354013635,0.798278366
AT,e1,m,60,0.270735769,0.693750146
AT,e2,m,60,0.270735769,0.693750146
AT,e3,m,60,0.270735769,0.693750146
AT,e4,m,60,0.270735769,0.693750146
AT,e5,m,60,0.32762471,0.736631593
AT,e6,m,60,0.582724626,0.833440617
AT,e1,f,65,0.057662027,0.115492289
AT,e2,f,65,0.057662027,0.115492289
AT,e3,f,65,0.057662027,0.115492289
AT,e4,f,65,0.057662027,0.115492289
AT,e5,f,65,0.071276479,0.159082405
AT,e6,f,65,0.102714352,0.255672072
AT,e1,m,65,0.112588091,0.232167918
AT,e2,m,65,0.112588091,0.232167918
AT,e3,m,65,0.112588091,0.232167918
AT,e4,m,65,0.112588091,0.232167918
AT,e5,m,65,0.081501469,0.238247291
AT,e6,m,65,0.19356578,0.365426378
AT,e1,f,70,0.035422478,0.033372994
AT,e2,f,70,0.035422478,0.033372994
AT,e3,f,70,0.035422478,0.033372994
AT,e4,f,70,0.035422478,0.033372994
AT,e5,f,70,0.035772228,0.088630474
AT,e6,f,70,0.06740783,0.130024106
AT,e1,m,70,0.078823802,0.104846391
AT,e2,m,70,0.078823802,0.104846391
AT,e3,m,70,0.078823802,0.104846391
AT,e4,m,70,0.078823802,0.104846391
AT,e5,m,70,0.04454584,0.132394402
AT,e6,m,70,0.128138903,0.203497401
BE,e1,f,15,0.050835635,0.443404763
BE,e2,f,15,0.050835635,0.443404763
BE,e3,f,15,0.050835635,0.443404763
BE,e4,f,15,0.050835635,0.443404763
BE,e5,f,15,0.117686134,0.767092184
BE,e6,f,15,0.24160303,1
BE,e1,m,15,0.056439552,0.346183909
BE,e2,m,15,0.056439552,0.346183909
BE,e3,m,15,0.056439552,0.346183909
BE,e4,m,15,0.056439552,0.346183909
BE,e5,m,15,0.163180534,0.731528073
BE,e6,m,15,0.403882671,0.731528073
BE,e1,f,20,0.467500957,0.535710077
BE,e2,f,20,0.467500957,0.535710077
BE,e3,f,20,0.467500957,0.535710077
BE,e4,f,20,0.467500957,0.535710077
BE,e5,f,20,0.385992491,0.759692529
BE,e6,f,20,0.574250147,0.697649304
BE,e1,m,20,0.586173852,0.714002535
BE,e2,m,20,0.586173852,0.714002535
BE,e3,m,20,0.586173852,0.714002535
BE,e4,m,20,0.586173852,0.714002535
BE,e5,m,20,0.515333713,0.807033397
BE,e6,m,20,0.556481669,0.588001503
BE,e1,f,25,0.507032792,0.593883189
BE,e2,f,25,0.507032792,0.593883189
BE,e3,f,25,0.507032792,0.593883189
BE,e4,f,25,0.507032792,0.593883189
BE,e5,f,25,0.778623414,0.848603955
BE,e6,f,25,0.891688874,0.859228037
BE,e1,m,25,0.768576271,0.75950542
BE,e2,m,25,0.768576271,0.75950542
BE,e3,m,25,0.768576271,0.75950542
BE,e4,m,25,0.768576271,0.75950542
BE,e5,m,25,0.903130694,0.931559481
BE,e6,m,25,0.893030664,0.859743896
BE,e1,f,30,0.518202075,0.753691107
BE,e2,f,30,0.518202075,0.753691107
BE,e3,f,30,0.518202075,0.753691107
BE,e4,f,30,0.518202075,0.753691107
BE,e5,f,30,0.799703504,0.91503786
BE,e6,f,30,0.921144104,0.928284899
BE,e1,m,30,0.792535455,0.834653117
BE,e2,m,30,0.792535455,0.834653117
BE,e3,m,30,0.792535455,0.834653117
BE,e4,m,30,0.792535455,0.834653117
BE,e5,m,30,0.94041202,0.950109994
BE,e6,m,30,0.967608008,0.956820986
BE,e1,f,35,0.524966642,0.719896242
BE,e2,f,35,0.524966642,0.719896242
BE,e3,f,35,0.524966642,0.719896242
BE,e4,f,35,0.524966642,0.719896242
BE,e5,f,35,0.799196534,0.912983183
BE,e6,f,35,0.92928995,0.937351353
BE,e1,m,35,0.795758498,0.915884988
BE,e2,m,35,0.795758498,0.915884988
BE,e3,m,35,0.795758498,0.915884988
BE,e4,m,35,0.795758498,0.915884988
BE,e5,m,35,0.92669184,0.957969657
BE,e6,m,35,0.961856196,0.970538919
BE,e1,f,40,0.566628729,0.740746033
BE,e2,f,40,0.566628729,0.740746033
BE,e3,f,40,0.566628729,0.740746033
BE,e4,f,40,0.566628729,0.740746033
BE,e5,f,40,0.813754697,0.894912017
BE,e6,f,40,0.926355903,0.957699838
BE,e1,m,40,0.799172005,0.864867597
BE,e2,m,40,0.799172005,0.864867597
BE,e3,m,40,0.799172005,0.864867597
BE,e4,m,40,0.799172005,0.864867597
BE,e5,m,40,0.922587532,0.962069906
BE,e6,m,40,0.975271501,0.982638661
BE,e1,f,45,0.561296416,0.766627337
BE,e2,f,45,0.561296416,0.766627337
BE,e3,f,45,0.561296416,0.766627337
BE,e4,f,45,0.561296416,0.766627337
BE,e5,f,45,0.793834672,0.900206478
BE,e6,f,45,0.918526867,0.95567956
BE,e1,m,45,0.783387255,0.858912678
BE,e2,m,45,0.783387255,0.858912678
BE,e3,m,45,0.783387255,0.858912678
BE,e4,m,45,0.783387255,0.858912678
BE,e5,m,45,0.906783604,0.95550404
BE,e6,m,45,0.972722105,0.969299384
BE,e1,f,50,0.539073602,0.727647977
BE,e2,f,50,0.539073602,0.727647977
BE,e3,f,50,0.539073602,0.727647977
BE,e4,f,50,0.539073602,0.727647977
BE,e5,f,50,0.755013714,0.898176216
BE,e6,f,50,0.883981886,0.943335721
BE,e1,m,50,0.752806632,0.877024819
BE,e2,m,50,0.752806632,0.877024819
BE,e3,m,50,0.752806632,0.877024819
BE,e4,m,50,0.752806632,0.877024819
BE,e5,m,50,0.88959291,0.931208125
BE,e6,m,50,0.952207706,0.972464329
BE,e1,f,55,0.439382297,0.722406023
BE,e2,f,55,0.439382297,0.722406023
BE,e3,f,55,0.439382297,0.722406023
BE,e4,f,55,0.439382297,0.722406023
BE,e5,f,55,0.651367598,0.867767088
BE,e6,f,55,0.802501475,0.932138931
BE,e1,m,55,0.588436298,0.848878184
BE,e2,m,55,0.588436298,0.848878184
BE,e3,m,55,0.588436298,0.848878184
BE,e4,m,55,0.588436298,0.848878184
BE,e5,m,55,0.757594498,0.912073023
BE,e6,m,55,0.909377463,0.948181296
BE,e1,f,60,0.147842291,0.602966457
BE,e2,f,60,0.147842291,0.602966457
BE,e3,f,60,0.147842291,0.602966457
BE,e4,f,60,0.147842291,0.602966457
BE,e5,f,60,0.246887728,0.66766474
BE,e6,f,60,0.375755869,0.798278366
BE,e1,m,60,0.187196984,0.693750146
BE,e2,m,60,0.187196984,0.693750146
BE,e3,m,60,0.187196984,0.693750146
BE,e4,m,60,0.187196984,0.693750146
BE,e5,m,60,0.332746483,0.736631593
BE,e6,m,60,0.543537403,0.833440617
BE,e1,f,65,0.017786847,0.115492289
BE,e2,f,65,0.017786847,0.115492289
BE,e3,f,65,0.017786847,0.115492289
BE,e4,f,65,0.017786847,0.115492289
BE,e5,f,65,0.035738393,0.159082405
BE,e6,f,65,0.060455006,0.255672072
BE,e1,m,65,0.038855892,0.232167918
BE,e2,m,65,0.038855892,0.232167918
BE,e3,m,65,0.038855892,0.232167918
BE,e4,m,65,0.038855892,0.232167918
BE,e5,m,65,0.058944156,0.238247291
BE,e6,m,65,0.131161471,0.365426378
BE,e1,f,70,0.008221958,0.033372994
BE,e2,f,70,0.008221958,0.033372994
BE,e3,f,70,0.008221958,0.033372994
BE,e4,f,70,0.008221958,0.033372994
BE,e5,f,70,0.018156166,0.088630474
BE,e6,f,70,0.023825747,0.130024106
BE,e1,m,70,0.023396523,0.104846391
BE,e2,m,70,0.023396523,0.104846391
BE,e3,m,70,0.023396523,0.104846391
BE,e4,m,70,0.023396523,0.104846391
BE,e5,m,70,0.032978103,0.132394402
BE,e6,m,70,0.071417549,0.203497401
